Step;Has Improved;Current fitness;Current improvement;Best Solution;Best Fitness;Best Improvement;Current Temperature
0;0;326542;0;{1,3,4,10,8,6,12,5,9,11,2,7};326542;0;100000
1;-1;286308;12,3212;{1,3,9,10,8,6,12,5,4,11,2,7};286004;12,4143;95000
2;1;319768;-11,6867;{4,6,8,10,5,9,11,2,12,1,7,3};284890;0,3895;90250
3;-1;300590;5,9975;{4,6,8,10,5,9,11,2,12,1,7,3};284890;0;85737,5
4;-1;288216;4,1166;{4,6,8,10,5,9,11,2,12,1,7,3};284890;0;81450,625
5;-1;282798;1,8798;{10,5,12,9,2,3,6,8,4,11,7,1};272100;4,4895;77378,09375
6;1;297294;-5,1259;{10,5,12,9,2,3,6,8,4,11,7,1};272100;0;73509,1890625
7;1;322568;-8,5013;{10,5,12,9,2,3,6,8,4,11,7,1};272100;0;69833,729609375
8;-1;318218;1,3486;{10,5,12,9,2,3,6,8,4,11,7,1};272100;0;66342,0431289062
9;-1;304270;4,3832;{1,7,8,4,3,5,11,10,9,2,12,6};270854;0,4579;63024,9409724609
10;-1;287980;5,3538;{1,7,8,4,3,5,11,10,9,2,12,6};270854;0;59873,6939238379
11;-1;286332;0,5723;{4,12,8,3,11,5,6,10,7,9,1,2};270204;0,24;56880,009227646
12;1;299178;-4,4864;{4,12,8,3,11,5,6,10,7,9,1,2};270204;0;54036,0087662637
13;1;301984;-0,9379;{4,12,8,3,11,5,6,10,7,9,1,2};270204;0;51334,2083279505
14;1;306294;-1,4272;{4,12,8,3,11,5,6,10,7,9,1,2};270204;0;48767,497911553
15;-1;291802;4,7314;{4,12,8,3,11,5,6,10,7,9,1,2};270204;0;46329,1230159753
16;1;325736;-11,6291;{4,12,8,3,11,5,6,10,7,9,1,2};270204;0;44012,6668651765
17;-1;296350;9,0214;{4,12,8,3,11,5,6,10,7,9,1,2};270204;0;41812,0335219177
18;1;313200;-5,6858;{4,12,8,3,11,5,6,10,7,9,1,2};270204;0;39721,4318458218
19;1;321824;-2,7535;{4,12,8,3,11,5,6,10,7,9,1,2};270204;0;37735,3602535307
20;-1;300762;6,5446;{8,5,6,11,9,12,7,2,10,1,3,4};270056;0,0548;35848,5922408542
21;-1;297840;0,9715;{8,5,6,11,9,12,7,2,10,1,3,4};270056;0;34056,1626288115
22;-1;294788;1,0247;{8,9,12,5,11,4,6,10,7,3,2,1};261018;3,3467;32353,3544973709
23;1;304136;-3,1711;{8,9,12,5,11,4,6,10,7,3,2,1};261018;0;30735,6867725024
24;-1;291942;4,0094;{8,9,12,5,11,4,6,10,7,3,2,1};261018;0;29198,9024338772
25;1;319938;-9,5896;{8,9,12,5,11,4,6,10,7,3,2,1};261018;0;27738,9573121834
26;-1;319874;0,02;{8,9,12,5,11,4,6,10,7,3,2,1};261018;0;26352,0094465742
27;1;344394;-7,6655;{8,9,12,5,11,4,6,10,7,3,2,1};261018;0;25034,4089742455
28;1;349046;-1,3508;{8,9,12,5,11,4,6,10,7,3,2,1};261018;0;23782,6885255332
29;-1;290946;16,6454;{8,9,12,5,11,4,6,10,7,3,2,1};261018;0;22593,5540992566
30;-1;284308;2,2815;{8,9,12,5,11,4,6,10,7,3,2,1};261018;0;21463,8763942937
31;1;310626;-9,2569;{8,9,12,5,11,4,6,10,7,3,2,1};261018;0;20390,682574579
32;1;332852;-7,1552;{8,9,12,5,11,4,6,10,7,3,2,1};261018;0;19371,1484458501
33;-1;303766;8,7384;{4,6,2,9,5,8,1,7,12,3,10,11};260668;0,1341;18402,5910235576
34;-1;287044;5,5049;{4,6,2,9,5,8,1,7,12,3,10,11};260668;0;17482,4614723797
35;1;289060;-0,7023;{4,6,2,9,5,8,1,7,12,3,10,11};260668;0;16608,3383987607
36;-1;268390;7,1508;{4,6,2,9,5,8,1,7,12,3,10,11};260668;0;15777,9214788227
37;1;284100;-5,8534;{4,6,2,9,5,8,1,7,12,3,10,11};260668;0;14989,0254048815
38;-1;255230;10,1619;{8,10,1,3,6,5,7,9,4,2,11,12};255230;2,0862;14239,5741346375
39;1;283278;-10,9893;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;13527,5954279056
40;-1;278056;1,8434;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;12851,2156565103
41;-1;277822;0,0842;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;12208,6548736848
42;1;284878;-2,5398;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;11598,2221300006
43;1;292420;-2,6474;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;11018,3110235005
44;0;292420;0;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;10467,3954723255
45;-1;290516;0,6511;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;9944,02569870923
46;-1;274994;5,3429;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;9446,82441377376
47;1;300964;-9,4438;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;8974,48319308508
48;0;300964;0;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;8525,75903343082
49;0;300964;0;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;8099,47108175928
50;0;300964;0;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;7694,49752767132
51;-1;297216;1,2453;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;7309,77265128775
52;0;297216;0;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;6944,28401872336
53;0;297216;0;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;6597,06981778719
54;0;297216;0;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;6267,21632689783
55;0;297216;0;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;5953,85551055294
56;-1;271746;8,5695;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;5656,1627350253
57;1;279588;-2,8858;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;5373,35459827403
58;0;279588;0;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;5104,68686836033
59;0;279588;0;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;4849,45252494231
60;0;279588;0;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;4606,9798986952
61;0;279588;0;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;4376,63090376044
62;0;279588;0;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;4157,79935857241
63;1;281314;-0,6173;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;3949,90939064379
64;-1;273700;2,7066;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;3752,4139211116
65;0;273700;0;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;3564,79322505602
66;-1;265066;3,1545;{8,10,1,3,6,5,7,9,4,2,11,12};255230;0;3386,55356380322
