Step;Average Fitness;Diversity;Improvement;Best;Best Fitness;Best Improvement
0;317394;100;0;{9,2,6,4,12,3,7,1,11,10,5,8};282020;0
1;303377;90;4,4163;{9,2,6,4,12,3,7,1,11,10,5,8};282020;0
2;304265;100;-0,2927;{11,2,12,7,8,4,9,1,3,10,6,5};279212;0,9957
3;293884;85;3,4118;{6,2,7,4,3,8,1,9,11,10,12,5};278534;0,2428
4;299822;95;-2,0205;{6,2,7,4,3,8,1,9,11,10,12,5};278534;0
5;298497;90;0,4419;{6,2,7,4,3,8,1,9,11,10,12,5};278534;0
6;295950;95;0,8533;{6,2,7,4,3,8,1,9,11,10,12,5};278534;0
7;294352;90;0,54;{6,2,7,4,8,1,9,3,11,10,12,5};275188;1,2013
8;296495;95;-0,728;{6,2,7,4,3,9,1,8,11,10,12,5};271726;1,258
9;288241;80;2,7839;{6,2,12,4,3,9,1,8,11,10,7,5};269624;0,7736
10;285656;80;0,8968;{6,2,7,4,5,8,1,9,11,10,12,3};264052;2,0666
11;285160;80;0,1736;{6,2,7,4,5,8,1,12,11,10,9,3};259154;1,8549
12;280871;70;1,5041;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
13;277186;50;1,312;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
14;274086;35;1,1184;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
15;271995;35;0,7629;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
16;271738;30;0,0945;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
17;274510;30;-1,0201;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
18;269852;30;1,6968;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
19;268852;30;0,3706;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
20;272107;30;-1,2107;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
21;272534;30;-0,1569;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
22;270552;30;0,7272;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
23;270987;30;-0,1608;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
24;276175;30;-1,9145;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
25;272736;30;1,2452;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
26;271112;30;0,5954;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
27;271196;30;-0,031;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
28;272866;30;-0,6158;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
29;272860;35;0,0022;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
30;269639;30;1,1805;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
31;273889;30;-1,5762;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
32;271304;30;0,9438;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
33;269564;30;0,6413;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
34;271783;30;-0,8232;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
35;270669;30;0,4099;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
36;272239;35;-0,58;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
37;272726;30;-0,1789;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
38;272939;30;-0,0781;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
39;271562;30;0,5045;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
40;274441;30;-1,0602;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
41;272884;30;0,5673;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
42;272090;30;0,291;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
43;275841;30;-1,3786;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
44;270665;30;1,8764;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
45;274114;30;-1,2743;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
46;275019;30;-0,3302;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
47;269670;30;1,945;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
48;273339;30;-1,3606;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
49;273388;30;-0,0179;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
50;271298;30;0,7645;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
51;269565;30;0,6388;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
52;273750;30;-1,5525;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
53;272614;30;0,415;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
54;272220;30;0,1445;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
55;271917;30;0,1113;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
56;275593;35;-1,3519;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
57;273221;30;0,8607;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
58;275143;30;-0,7035;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
59;274594;30;0,1995;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
60;273360;30;0,4494;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
61;275196;30;-0,6716;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
62;271993;30;1,1639;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
63;272239;30;-0,0904;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
64;270468;30;0,6505;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
65;272573;30;-0,7783;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
66;273681;30;-0,4065;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
67;272613;30;0,3902;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
68;273861;30;-0,4578;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
69;269985;30;1,4153;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
70;272610;30;-0,9723;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
71;271326;30;0,471;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
72;275217;30;-1,4341;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
73;272753;30;0,8953;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
74;272533;30;0,0807;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
75;272624;30;-0,0334;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
76;272808;30;-0,0675;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
77;273488;30;-0,2493;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
78;271845;30;0,6008;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
79;274224;30;-0,8751;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
80;269736;30;1,6366;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
81;272194;30;-0,9113;{6,2,7,4,5,8,1,12,11,10,9,3};259154;0
