Step;Has Improved;Current solution;Current fitness;Current improvement;Best Solution;Best Fitness;Best Improvement;Current Tabou Size
0;False;{1,2,10,7,4,5,3,8,9,11,6,12};308156;0;{1,2,10,7,4,5,3,8,9,11,6,12};308156;0;0
1;True;{4,2,10,7,1,5,3,8,9,11,6,12};291400;5,4375;{4,2,10,7,1,5,3,8,9,11,6,12};291400;5,4375;0
2;True;{4,2,10,7,12,5,3,8,9,11,6,1};276292;5,1846;{4,2,10,7,12,5,3,8,9,11,6,1};276292;5,1846;0
3;True;{4,2,10,7,12,5,3,8,9,6,11,1};267734;3,0974;{4,2,10,7,12,5,3,8,9,6,11,1};267734;3,0974;0
4;True;{4,12,10,7,2,5,3,8,9,6,11,1};255788;4,4619;{4,12,10,7,2,5,3,8,9,6,11,1};255788;4,4619;0
5;True;{4,12,10,7,2,9,3,8,5,6,11,1};252544;1,2682;{4,12,10,7,2,9,3,8,5,6,11,1};252544;1,2682;0
6;True;{4,12,10,7,2,9,5,8,3,6,11,1};250866;0,6644;{4,12,10,7,2,9,5,8,3,6,11,1};250866;0,6644;0
7;True;{4,12,10,9,2,7,5,8,3,6,11,1};246556;1,718;{4,12,10,9,2,7,5,8,3,6,11,1};246556;1,718;0
8;True;{4,12,10,9,2,7,5,8,3,6,1,11};241392;2,0945;{4,12,10,9,2,7,5,8,3,6,1,11};241392;2,0945;0
9;True;{4,5,10,9,2,7,12,8,3,6,1,11};239332;0,8534;{4,5,10,9,2,7,12,8,3,6,1,11};239332;0,8534;0
10;False;{4,9,10,5,2,7,12,8,3,6,1,11};240882;-0,6476;{4,5,10,9,2,7,12,8,3,6,1,11};239332;0;1
11;False;{4,12,10,5,2,7,9,8,3,6,1,11};242938;-0,8535;{4,5,10,9,2,7,12,8,3,6,1,11};239332;0;2
12;True;{4,12,10,9,2,7,5,8,3,6,1,11};241392;0,6364;{4,12,10,9,2,7,5,8,3,6,1,11};241392;-0,8607;2
13;True;{4,12,10,9,2,7,1,8,3,6,5,11};239592;0,7457;{4,12,10,9,2,7,1,8,3,6,5,11};239592;0,7457;2
14;False;{4,12,10,9,2,7,5,8,3,6,1,11};241392;-0,7513;{4,12,10,9,2,7,1,8,3,6,5,11};239592;0;3
15;False;{4,12,10,3,2,7,5,8,9,6,1,11};242626;-0,5112;{4,12,10,9,2,7,1,8,3,6,5,11};239592;0;4
16;True;{4,12,11,3,2,7,5,8,9,6,1,10};232164;4,312;{4,12,11,3,2,7,5,8,9,6,1,10};232164;3,1003;4
17;False;{4,12,11,3,2,7,9,8,5,6,1,10};236614;-1,9167;{4,12,11,3,2,7,5,8,9,6,1,10};232164;0;5
18;True;{4,12,11,3,2,7,9,5,8,6,1,10};236436;0,0752;{4,12,11,3,2,7,9,5,8,6,1,10};236436;-1,8401;5
19;False;{4,12,11,3,2,7,9,8,5,6,1,10};236614;-0,0753;{4,12,11,3,2,7,9,5,8,6,1,10};236436;0;6
20;False;{4,12,11,3,10,7,9,8,5,6,1,2};244054;-3,1444;{4,12,11,3,2,7,9,5,8,6,1,10};236436;0;7
21;True;{4,5,11,3,10,7,9,8,12,6,1,2};244002;0,0213;{4,5,11,3,10,7,9,8,12,6,1,2};244002;-3,2;7
22;False;{4,12,11,3,10,7,9,8,5,6,1,2};244054;-0,0213;{4,5,11,3,10,7,9,8,12,6,1,2};244002;0;8
23;False;{4,12,11,3,7,10,9,8,5,6,1,2};248008;-1,6201;{4,5,11,3,10,7,9,8,12,6,1,2};244002;0;9
24;False;{4,12,11,3,7,10,8,9,5,6,1,2};248486;-0,1927;{4,5,11,3,10,7,9,8,12,6,1,2};244002;0;10
25;False;{4,12,11,3,7,9,8,10,5,6,1,2};249776;-0,5191;{4,5,11,3,10,7,9,8,12,6,1,2};244002;0;10
26;True;{4,12,11,3,7,9,6,10,5,8,1,2};247394;0,9537;{4,12,11,3,7,9,6,10,5,8,1,2};247394;-1,3902;10
27;True;{4,12,11,3,7,9,6,10,8,5,1,2};246706;0,2781;{4,12,11,3,7,9,6,10,8,5,1,2};246706;0,2781;10
28;True;{4,12,11,3,7,9,5,10,8,6,1,2};236790;4,0194;{4,12,11,3,7,9,5,10,8,6,1,2};236790;4,0194;10
29;False;{4,6,11,3,7,9,5,10,8,12,1,2};240252;-1,4621;{4,12,11,3,7,9,5,10,8,6,1,2};236790;0;10
30;True;{4,6,11,3,7,9,12,10,8,5,1,2};235870;1,8239;{4,6,11,3,7,9,12,10,8,5,1,2};235870;0,3885;10
31;False;{4,6,10,3,7,9,12,11,8,5,1,2};237440;-0,6656;{4,6,11,3,7,9,12,10,8,5,1,2};235870;0;10
32;False;{4,6,10,3,7,8,12,11,9,5,1,2};243234;-2,4402;{4,6,11,3,7,9,12,10,8,5,1,2};235870;0;10
33;True;{4,6,10,9,7,8,12,11,3,5,1,2};240124;1,2786;{4,6,10,9,7,8,12,11,3,5,1,2};240124;-1,8035;10
34;False;{4,6,10,5,7,8,12,11,3,9,1,2};242514;-0,9953;{4,6,10,9,7,8,12,11,3,5,1,2};240124;0;10
35;False;{4,6,10,3,7,8,12,11,5,9,1,2};243804;-0,5319;{4,6,10,9,7,8,12,11,3,5,1,2};240124;0;10
36;True;{4,6,10,3,7,8,12,11,9,5,1,2};243234;0,2338;{4,6,10,3,7,8,12,11,9,5,1,2};243234;-1,2952;10
37;False;{4,6,10,3,7,8,12,11,5,9,1,2};243804;-0,2343;{4,6,10,3,7,8,12,11,9,5,1,2};243234;0;10
