Step;Has Improved;Current solution;Current fitness;Current improvement;Best Solution;Best Fitness;Best Improvement;Current Tabou Size
38;False;{4,7,10,3,6,8,12,11,5,9,1,2};244832;-0,4217;{4,6,10,3,7,8,12,11,9,5,1,2};243234;0;10
39;False;{4,5,10,3,6,8,12,11,7,9,1,2};249732;-2,0014;{4,6,10,3,7,8,12,11,9,5,1,2};243234;0;10
40;True;{4,5,10,3,7,8,12,11,6,9,1,2};246174;1,4247;{4,5,10,3,7,8,12,11,6,9,1,2};246174;-1,2087;10
41;True;{4,5,10,3,7,9,12,11,6,8,1,2};243884;0,9302;{4,5,10,3,7,9,12,11,6,8,1,2};243884;0,9302;10
42;True;{4,5,10,1,7,9,12,11,6,8,3,2};243294;0,2419;{4,5,10,1,7,9,12,11,6,8,3,2};243294;0,2419;10
43;False;{4,5,10,3,7,9,12,11,6,8,1,2};243884;-0,2425;{4,5,10,1,7,9,12,11,6,8,3,2};243294;0;10
44;False;{4,3,10,5,7,9,12,11,6,8,1,2};244168;-0,1164;{4,5,10,1,7,9,12,11,6,8,3,2};243294;0;10
45;False;{4,3,10,5,7,8,12,11,6,9,1,2};248818;-1,9044;{4,5,10,1,7,9,12,11,6,8,3,2};243294;0;10
46;False;{4,3,10,5,11,8,12,7,6,9,1,2};250222;-0,5643;{4,5,10,1,7,9,12,11,6,8,3,2};243294;0;10
47;False;{4,9,10,5,11,8,12,7,6,3,1,2};252266;-0,8169;{4,5,10,1,7,9,12,11,6,8,3,2};243294;0;10
48;True;{4,9,11,5,10,8,12,7,6,3,1,2};246114;2,4387;{4,9,11,5,10,8,12,7,6,3,1,2};246114;-1,1591;10
49;False;{4,9,11,7,10,8,12,5,6,3,1,2};247010;-0,3641;{4,9,11,5,10,8,12,7,6,3,1,2};246114;0;10
50;True;{4,9,11,7,1,8,12,5,6,3,10,2};246642;0,149;{4,9,11,7,1,8,12,5,6,3,10,2};246642;-0,2145;10
51;True;{4,5,11,7,1,8,12,9,6,3,10,2};237012;3,9044;{4,5,11,7,1,8,12,9,6,3,10,2};237012;3,9044;10
52;True;{4,5,11,7,1,8,12,10,6,3,9,2};235972;0,4388;{4,5,11,7,1,8,12,10,6,3,9,2};235972;0,4388;10
53;True;{4,5,11,7,1,8,12,10,9,3,6,2};233040;1,2425;{4,5,11,7,1,8,12,10,9,3,6,2};233040;1,2425;10
54;False;{4,5,11,7,1,8,12,10,6,3,9,2};235972;-1,2582;{4,5,11,7,1,8,12,10,9,3,6,2};233040;0;10
55;False;{4,5,11,7,1,8,12,9,6,3,10,2};237012;-0,4407;{4,5,11,7,1,8,12,10,9,3,6,2};233040;0;10
56;False;{4,12,11,7,1,8,5,9,6,3,10,2};240626;-1,5248;{4,5,11,7,1,8,12,10,9,3,6,2};233040;0;10
57;False;{4,12,11,7,1,8,6,9,5,3,10,2};240840;-0,0889;{4,5,11,7,1,8,12,10,9,3,6,2};233040;0;10
58;False;{4,12,11,7,1,8,6,5,9,3,10,2};245296;-1,8502;{4,5,11,7,1,8,12,10,9,3,6,2};233040;0;10
59;False;{4,12,11,7,1,8,5,6,9,3,10,2};247576;-0,9295;{4,5,11,7,1,8,12,10,9,3,6,2};233040;0;10
60;False;{4,12,11,10,1,8,5,6,9,3,7,2};251946;-1,7651;{4,5,11,7,1,8,12,10,9,3,6,2};233040;0;10
61;False;{4,9,11,10,1,8,5,6,12,3,7,2};255020;-1,2201;{4,5,11,7,1,8,12,10,9,3,6,2};233040;0;10
62;True;{4,6,11,10,1,8,5,9,12,3,7,2};247482;2,9558;{4,6,11,10,1,8,5,9,12,3,7,2};247482;-6,1972;10
63;False;{4,6,11,10,1,8,5,9,3,12,7,2};250344;-1,1564;{4,6,11,10,1,8,5,9,12,3,7,2};247482;0;10
64;False;{4,6,11,10,1,8,12,9,3,5,7,2};250498;-0,0615;{4,6,11,10,1,8,5,9,12,3,7,2};247482;0;10
65;True;{4,6,9,10,1,8,12,11,3,5,7,2};245338;2,0599;{4,6,9,10,1,8,12,11,3,5,7,2};245338;0,8663;10
66;False;{4,6,7,10,1,8,12,11,3,5,9,2};245634;-0,1206;{4,6,9,10,1,8,12,11,3,5,7,2};245338;0;10
67;True;{4,6,11,10,1,8,12,7,3,5,9,2};244342;0,526;{4,6,11,10,1,8,12,7,3,5,9,2};244342;0,406;10
68;False;{4,6,11,7,1,8,12,10,3,5,9,2};245554;-0,496;{4,6,11,10,1,8,12,7,3,5,9,2};244342;0;10
69;True;{4,6,10,7,1,8,12,11,3,5,9,2};245130;0,1727;{4,6,10,7,1,8,12,11,3,5,9,2};245130;-0,3225;10
70;False;{4,6,11,7,1,8,12,10,3,5,9,2};245554;-0,173;{4,6,10,7,1,8,12,11,3,5,9,2};245130;0;10
71;True;{4,9,11,7,1,8,12,10,3,5,6,2};245442;0,0456;{4,9,11,7,1,8,12,10,3,5,6,2};245442;-0,1273;10
72;True;{4,5,11,7,1,8,12,10,3,9,6,2};244626;0,3325;{4,5,11,7,1,8,12,10,3,9,6,2};244626;0,3325;10
73;False;{4,5,11,7,10,8,12,1,3,9,6,2};245028;-0,1643;{4,5,11,7,1,8,12,10,3,9,6,2};244626;0;10
74;False;{4,5,11,7,10,8,6,1,3,9,12,2};245468;-0,1796;{4,5,11,7,1,8,12,10,3,9,6,2};244626;0;10
75;True;{4,6,11,7,10,8,5,1,3,9,12,2};245060;0,1662;{4,6,11,7,10,8,5,1,3,9,12,2};245060;-0,1774;10
76;False;{4,5,11,7,10,8,6,1,3,9,12,2};245468;-0,1665;{4,6,11,7,10,8,5,1,3,9,12,2};245060;0;10
77;False;{4,5,11,7,10,8,6,3,1,9,12,2};249678;-1,7151;{4,6,11,7,10,8,5,1,3,9,12,2};245060;0;10
78;False;{4,5,11,1,10,8,6,3,7,9,12,2};250878;-0,4806;{4,6,11,7,10,8,5,1,3,9,12,2};245060;0;10
79;True;{4,7,11,1,10,8,6,3,5,9,12,2};249832;0,4169;{4,7,11,1,10,8,6,3,5,9,12,2};249832;-1,9473;10
80;True;{4,7,11,1,10,8,6,3,12,9,5,2};248278;0,622;{4,7,11,1,10,8,6,3,12,9,5,2};248278;0,622;10
81;False;{4,7,11,1,10,8,6,3,5,9,12,2};249832;-0,6259;{4,7,11,1,10,8,6,3,12,9,5,2};248278;0;10
82;False;{4,1,11,7,10,8,6,3,5,9,12,2};250868;-0,4147;{4,7,11,1,10,8,6,3,12,9,5,2};248278;0;10
83;True;{4,1,10,7,11,8,6,3,5,9,12,2};249108;0,7016;{4,1,10,7,11,8,6,3,5,9,12,2};249108;-0,3343;10
84;False;{4,1,11,7,10,8,6,3,5,9,12,2};250868;-0,7065;{4,1,10,7,11,8,6,3,5,9,12,2};249108;0;10
85;True;{4,5,11,7,10,8,6,3,1,9,12,2};249678;0,4744;{4,5,11,7,10,8,6,3,1,9,12,2};249678;-0,2288;10
86;False;{4,1,11,7,10,8,6,3,5,9,12,2};250868;-0,4766;{4,5,11,7,10,8,6,3,1,9,12,2};249678;0;10
87;False;{4,12,11,7,10,8,6,3,5,9,1,2};251600;-0,2918;{4,5,11,7,10,8,6,3,1,9,12,2};249678;0;10
88;True;{4,12,11,3,10,8,6,7,5,9,1,2};245240;2,5278;{4,12,11,3,10,8,6,7,5,9,1,2};245240;1,7775;10
89;True;{4,12,11,3,10,8,5,7,6,9,1,2};238706;2,6643;{4,12,11,3,10,8,5,7,6,9,1,2};238706;2,6643;10
90;False;{4,12,11,3,2,8,5,7,6,9,1,10};243560;-2,0335;{4,12,11,3,10,8,5,7,6,9,1,2};238706;0;10
91;True;{4,12,8,3,2,11,5,7,6,9,1,10};242584;0,4007;{4,12,8,3,2,11,5,7,6,9,1,10};242584;-1,6246;10
92;True;{4,12,8,3,2,10,5,7,6,9,1,11};242440;0,0594;{4,12,8,3,2,10,5,7,6,9,1,11};242440;0,0594;10
93;False;{4,12,8,3,2,11,5,7,6,9,1,10};242584;-0,0594;{4,12,8,3,2,10,5,7,6,9,1,11};242440;0;10
94;False;{4,12,8,3,2,7,5,11,6,9,1,10};242682;-0,0404;{4,12,8,3,2,10,5,7,6,9,1,11};242440;0;10
95;False;{4,12,8,3,2,7,9,11,6,5,1,10};243646;-0,3972;{4,12,8,3,2,10,5,7,6,9,1,11};242440;0;10
96;False;{8,12,4,3,2,7,9,11,6,5,1,10};248440;-1,9676;{4,12,8,3,2,10,5,7,6,9,1,11};242440;0;10
97;False;{8,12,10,3,2,7,9,11,6,5,1,4};252430;-1,606;{4,12,8,3,2,10,5,7,6,9,1,11};242440;0;10
98;False;{8,12,1,3,2,7,9,11,6,5,10,4};252480;-0,0198;{4,12,8,3,2,10,5,7,6,9,1,11};242440;0;10
99;False;{8,12,1,3,2,7,9,11,6,5,4,10};252994;-0,2036;{4,12,8,3,2,10,5,7,6,9,1,11};242440;0;10
100;True;{8,12,1,3,2,7,9,4,6,5,11,10};249894;1,2253;{8,12,1,3,2,7,9,4,6,5,11,10};249894;-3,0746;10
