Step;Has Improved;Current solution;Current fitness;Current improvement;Best Solution;Best Fitness;Best Improvement;Current Tabou Size
0;False;{17,14,25,24,10,6,1,15,20,18,5,27,9,8,16,26,23,12,19,13,21,22,2,4,30,28,11,7,29,3};2181616;0;{17,14,25,24,10,6,1,15,20,18,5,27,9,8,16,26,23,12,19,13,21,22,2,4,30,28,11,7,29,3};2181616;0;0
1;True;{23,14,25,24,10,6,1,15,20,18,5,27,9,8,16,26,17,12,19,13,21,22,2,4,30,28,11,7,29,3};2136544;2,066;{23,14,25,24,10,6,1,15,20,18,5,27,9,8,16,26,17,12,19,13,21,22,2,4,30,28,11,7,29,3};2136544;2,066;0
2;True;{23,14,25,24,10,6,1,15,20,18,5,27,9,8,16,26,17,12,19,13,21,22,2,11,30,28,4,7,29,3};2100202;1,701;{23,14,25,24,10,6,1,15,20,18,5,27,9,8,16,26,17,12,19,13,21,22,2,11,30,28,4,7,29,3};2100202;1,701;0
3;True;{23,14,25,24,10,6,1,15,20,18,5,27,22,8,16,26,17,12,19,13,21,9,2,11,30,28,4,7,29,3};2070852;1,3975;{23,14,25,24,10,6,1,15,20,18,5,27,22,8,16,26,17,12,19,13,21,9,2,11,30,28,4,7,29,3};2070852;1,3975;0
4;True;{23,14,25,24,10,6,1,15,20,19,5,27,22,8,16,26,17,12,18,13,21,9,2,11,30,28,4,7,29,3};2042420;1,373;{23,14,25,24,10,6,1,15,20,19,5,27,22,8,16,26,17,12,18,13,21,9,2,11,30,28,4,7,29,3};2042420;1,373;0
5;True;{23,14,25,24,10,6,1,15,20,19,5,18,22,8,16,26,17,12,27,13,21,9,2,11,30,28,4,7,29,3};2019984;1,0985;{23,14,25,24,10,6,1,15,20,19,5,18,22,8,16,26,17,12,27,13,21,9,2,11,30,28,4,7,29,3};2019984;1,0985;0
6;True;{23,14,25,24,10,6,1,15,20,19,5,18,22,8,16,26,17,12,27,13,21,9,2,11,3,28,4,7,29,30};1998072;1,0848;{23,14,25,24,10,6,1,15,20,19,5,18,22,8,16,26,17,12,27,13,21,9,2,11,3,28,4,7,29,30};1998072;1,0848;0
7;True;{23,14,25,24,10,6,1,7,20,19,5,18,22,8,16,26,17,12,27,13,21,9,2,11,3,28,4,15,29,30};1972502;1,2797;{23,14,25,24,10,6,1,7,20,19,5,18,22,8,16,26,17,12,27,13,21,9,2,11,3,28,4,15,29,30};1972502;1,2797;0
8;True;{23,14,25,24,13,6,1,7,20,19,5,18,22,8,16,26,17,12,27,10,21,9,2,11,3,28,4,15,29,30};1956946;0,7886;{23,14,25,24,13,6,1,7,20,19,5,18,22,8,16,26,17,12,27,10,21,9,2,11,3,28,4,15,29,30};1956946;0,7886;0
9;True;{23,14,25,24,13,6,1,7,20,19,5,18,22,8,16,26,17,12,15,10,21,9,2,11,3,28,4,27,29,30};1948510;0,4311;{23,14,25,24,13,6,1,7,20,19,5,18,22,8,16,26,17,12,15,10,21,9,2,11,3,28,4,27,29,30};1948510;0,4311;0
