Step;Has Improved;Current solution;Current fitness;Current improvement;Best Solution;Best Fitness;Best Improvement;Current Tabou Size
10;True;{23,14,25,24,13,6,1,7,20,19,5,18,22,8,16,26,17,12,15,10,21,9,2,11,3,27,4,28,29,30};1943932;0,2349;{23,14,25,24,13,6,1,7,20,19,5,18,22,8,16,26,17,12,15,10,21,9,2,11,3,27,4,28,29,30};1943932;0,2349;0
11;True;{23,14,25,24,13,6,1,7,20,19,5,18,22,8,9,26,17,12,15,10,21,16,2,11,3,27,4,28,29,30};1930804;0,6753;{23,14,25,24,13,6,1,7,20,19,5,18,22,8,9,26,17,12,15,10,21,16,2,11,3,27,4,28,29,30};1930804;0,6753;0
12;False;{23,14,25,24,13,6,1,7,20,19,5,18,22,8,9,26,17,10,15,12,21,16,2,11,3,27,4,28,29,30};1932188;-0,0717;{23,14,25,24,13,6,1,7,20,19,5,18,22,8,9,26,17,12,15,10,21,16,2,11,3,27,4,28,29,30};1930804;0;1
13;True;{23,14,25,24,13,6,1,7,20,12,5,18,22,8,9,26,17,10,15,19,21,16,2,11,3,27,4,28,29,30};1930256;0,1;{23,14,25,24,13,6,1,7,20,12,5,18,22,8,9,26,17,10,15,19,21,16,2,11,3,27,4,28,29,30};1930256;0,0284;1
14;True;{23,14,25,24,4,6,1,7,20,12,5,18,22,8,9,26,17,10,15,19,21,16,2,11,3,27,13,28,29,30};1928608;0,0854;{23,14,25,24,4,6,1,7,20,12,5,18,22,8,9,26,17,10,15,19,21,16,2,11,3,27,13,28,29,30};1928608;0,0854;1
15;True;{23,14,25,13,4,6,1,7,20,12,5,18,22,8,9,26,17,10,15,19,21,16,2,11,3,27,24,28,29,30};1926846;0,0914;{23,14,25,13,4,6,1,7,20,12,5,18,22,8,9,26,17,10,15,19,21,16,2,11,3,27,24,28,29,30};1926846;0,0914;1
16;True;{23,14,25,13,4,6,1,7,20,12,5,18,22,8,9,26,10,17,15,19,21,16,2,11,3,27,24,28,29,30};1921542;0,2753;{23,14,25,13,4,6,1,7,20,12,5,18,22,8,9,26,10,17,15,19,21,16,2,11,3,27,24,28,29,30};1921542;0,2753;1
17;True;{23,14,25,13,4,6,1,7,20,12,5,18,22,8,11,26,10,17,15,19,21,16,2,9,3,27,24,28,29,30};1919470;0,1078;{23,14,25,13,4,6,1,7,20,12,5,18,22,8,11,26,10,17,15,19,21,16,2,9,3,27,24,28,29,30};1919470;0,1078;1
18;True;{23,9,25,13,4,6,1,7,20,12,5,18,22,8,11,26,10,17,15,19,21,16,2,14,3,27,24,28,29,30};1914188;0,2752;{23,9,25,13,4,6,1,7,20,12,5,18,22,8,11,26,10,17,15,19,21,16,2,14,3,27,24,28,29,30};1914188;0,2752;1
19;True;{23,9,25,13,4,6,1,7,20,12,5,18,22,8,11,14,10,17,15,19,21,16,2,26,3,27,24,28,29,30};1909890;0,2245;{23,9,25,13,4,6,1,7,20,12,5,18,22,8,11,14,10,17,15,19,21,16,2,26,3,27,24,28,29,30};1909890;0,2245;1
20;True;{23,9,25,13,4,6,1,7,20,12,5,15,22,8,11,14,10,17,18,19,21,16,2,26,3,27,24,28,29,30};1904142;0,301;{23,9,25,13,4,6,1,7,20,12,5,15,22,8,11,14,10,17,18,19,21,16,2,26,3,27,24,28,29,30};1904142;0,301;1
21;True;{23,9,25,13,4,6,5,7,20,12,1,15,22,8,11,14,10,17,18,19,21,16,2,26,3,27,24,28,29,30};1893112;0,5793;{23,9,25,13,4,6,5,7,20,12,1,15,22,8,11,14,10,17,18,19,21,16,2,26,3,27,24,28,29,30};1893112;0,5793;1
22;True;{23,9,25,13,4,6,5,7,20,12,1,15,22,8,19,14,10,17,18,11,21,16,2,26,3,27,24,28,29,30};1892348;0,0404;{23,9,25,13,4,6,5,7,20,12,1,15,22,8,19,14,10,17,18,11,21,16,2,26,3,27,24,28,29,30};1892348;0,0404;1
23;True;{23,9,25,13,4,6,5,7,20,12,17,15,22,8,19,14,10,1,18,11,21,16,2,26,3,27,24,28,29,30};1888644;0,1957;{23,9,25,13,4,6,5,7,20,12,17,15,22,8,19,14,10,1,18,11,21,16,2,26,3,27,24,28,29,30};1888644;0,1957;1
24;True;{23,9,25,13,4,6,5,7,20,3,17,15,22,8,19,14,10,1,18,11,21,16,2,26,12,27,24,28,29,30};1881146;0,397;{23,9,25,13,4,6,5,7,20,3,17,15,22,8,19,14,10,1,18,11,21,16,2,26,12,27,24,28,29,30};1881146;0,397;1
25;False;{23,9,25,13,4,6,2,7,20,3,17,15,22,8,19,14,10,1,18,11,21,16,5,26,12,27,24,28,29,30};1883538;-0,1272;{23,9,25,13,4,6,5,7,20,3,17,15,22,8,19,14,10,1,18,11,21,16,2,26,12,27,24,28,29,30};1881146;0;2
26;True;{23,9,25,13,4,6,2,7,20,3,17,15,22,8,19,14,10,1,18,5,21,16,11,26,12,27,24,28,29,30};1881996;0,0819;{23,9,25,13,4,6,5,7,20,3,17,15,22,8,19,14,10,1,18,11,21,16,2,26,12,27,24,28,29,30};1881146;0;3
27;False;{23,9,25,13,4,6,2,7,20,3,17,15,22,8,19,14,10,1,21,5,18,16,11,26,12,27,24,28,29,30};1885242;-0,1725;{23,9,25,13,4,6,5,7,20,3,17,15,22,8,19,14,10,1,18,11,21,16,2,26,12,27,24,28,29,30};1881146;0;4
28;True;{23,9,25,18,4,6,2,7,20,3,17,15,22,8,19,14,10,1,21,5,13,16,11,26,12,27,24,28,29,30};1883708;0,0814;{23,9,25,13,4,6,5,7,20,3,17,15,22,8,19,14,10,1,18,11,21,16,2,26,12,27,24,28,29,30};1881146;0;5
29;False;{7,9,25,18,4,6,2,23,20,3,17,15,22,8,19,14,10,1,21,5,13,16,11,26,12,27,24,28,29,30};1888118;-0,2341;{23,9,25,13,4,6,5,7,20,3,17,15,22,8,19,14,10,1,18,11,21,16,2,26,12,27,24,28,29,30};1881146;0;6
30;False;{18,9,25,7,4,6,2,23,20,3,17,15,22,8,19,14,10,1,21,5,13,16,11,26,12,27,24,28,29,30};1889226;-0,0587;{23,9,25,13,4,6,5,7,20,3,17,15,22,8,19,14,10,1,18,11,21,16,2,26,12,27,24,28,29,30};1881146;0;7
31;True;{18,9,25,7,4,6,2,23,20,3,17,15,22,8,19,14,10,1,21,5,13,16,11,30,12,27,24,28,29,26};1877464;0,6226;{18,9,25,7,4,6,2,23,20,3,17,15,22,8,19,14,10,1,21,5,13,16,11,30,12,27,24,28,29,26};1877464;0,1957;7
32;True;{18,9,25,11,4,6,2,23,20,3,17,15,22,8,19,14,10,1,21,5,13,16,7,30,12,27,24,28,29,26};1873656;0,2028;{18,9,25,11,4,6,2,23,20,3,17,15,22,8,19,14,10,1,21,5,13,16,7,30,12,27,24,28,29,26};1873656;0,2028;7
33;False;{18,9,25,11,4,6,2,23,20,3,17,15,22,8,19,14,10,1,12,5,13,16,7,30,21,27,24,28,29,26};1875902;-0,1199;{18,9,25,11,4,6,2,23,20,3,17,15,22,8,19,14,10,1,21,5,13,16,7,30,12,27,24,28,29,26};1873656;0;8
34;True;{18,9,25,15,4,6,2,23,20,3,17,11,22,8,19,14,10,1,12,5,13,16,7,30,21,27,24,28,29,26};1871260;0,2475;{18,9,25,15,4,6,2,23,20,3,17,11,22,8,19,14,10,1,12,5,13,16,7,30,21,27,24,28,29,26};1871260;0,1279;8
35;False;{18,9,25,15,4,6,2,23,20,3,17,11,22,8,19,14,10,1,12,27,13,16,7,30,21,5,24,28,29,26};1874104;-0,152;{18,9,25,15,4,6,2,23,20,3,17,11,22,8,19,14,10,1,12,5,13,16,7,30,21,27,24,28,29,26};1871260;0;9
36;False;{18,9,25,15,4,6,13,23,20,3,17,11,22,8,19,14,10,1,12,27,2,16,7,30,21,5,24,28,29,26};1878716;-0,2461;{18,9,25,15,4,6,2,23,20,3,17,11,22,8,19,14,10,1,12,5,13,16,7,30,21,27,24,28,29,26};1871260;0;10
37;False;{18,9,25,15,4,6,13,23,20,3,17,11,22,8,19,14,10,1,12,27,2,16,7,24,21,5,30,28,29,26};1881844;-0,1665;{18,9,25,15,4,6,2,23,20,3,17,11,22,8,19,14,10,1,12,5,13,16,7,30,21,27,24,28,29,26};1871260;0;11
38;True;{18,9,25,15,4,12,13,23,20,3,17,11,22,8,19,14,10,1,6,27,2,16,7,24,21,5,30,28,29,26};1877504;0,2306;{18,9,25,15,4,6,2,23,20,3,17,11,22,8,19,14,10,1,12,5,13,16,7,30,21,27,24,28,29,26};1871260;0;12
39;False;{18,9,25,15,4,22,13,23,20,3,17,11,12,8,19,14,10,1,6,27,2,16,7,24,21,5,30,28,29,26};1877998;-0,0263;{18,9,25,15,4,6,2,23,20,3,17,11,22,8,19,14,10,1,12,5,13,16,7,30,21,27,24,28,29,26};1871260;0;13
40;True;{18,9,25,15,4,22,13,23,20,3,17,11,29,8,19,14,10,1,6,27,2,16,7,24,21,5,30,28,12,26};1868054;0,5295;{18,9,25,15,4,22,13,23,20,3,17,11,29,8,19,14,10,1,6,27,2,16,7,24,21,5,30,28,12,26};1868054;0,1713;13
