Step;Has Improved;Current fitness;Current improvement;Best Solution;Best Fitness;Best Improvement;Current Temperature
56;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;3225,96936446853
57;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;3161,44997717916
58;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;3098,22097763557
59;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;3036,25655808286
60;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;2975,5314269212
61;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;2916,02079838278
62;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;2857,70038241512
63;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;2800,54637476682
64;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;2744,53544727149
65;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;2689,64473832606
66;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;2635,85184355953
67;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;2583,13480668834
68;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;2531,47211055458
69;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;2480,84266834349
70;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;2431,22581497662
71;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;2382,60129867708
72;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;2334,94927270354
73;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;2288,25028724947
74;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;2242,48528150448
75;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;2197,63557587439
76;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;2153,6828643569
77;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;2110,60920706977
78;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;2068,39702292837
79;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;2027,0290824698
80;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1986,48850082041
81;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1946,758730804
82;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1907,82355618792
83;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1869,66708506416
84;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1832,27374336288
85;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1795,62826849562
86;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1759,71570312571
87;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1724,52138906319
88;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1690,03096128193
89;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1656,23034205629
90;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1623,10573521516
91;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1590,64362051086
92;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1558,83074810064
93;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1527,65413313863
94;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1497,10105047586
95;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1467,15902946634
96;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1437,81584887701
97;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1409,05953189947
98;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1380,87834126148
99;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1353,26077443625
100;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1326,19555894753
101;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1299,67164776858
102;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1273,67821481321
103;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1248,20465051694
104;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1223,2405575066
105;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1198,77574635647
106;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1174,80023142934
107;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1151,30422680076
108;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1128,27814226474
109;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1105,71257941945
110;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1083,59832783106
111;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1061,92636127444
112;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1040,68783404895
113;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;1019,87407736797
114;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;999,476595820609
115;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;979,487063904196
116;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;959,897322626112
117;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;940,69937617359
118;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;921,885388650118
119;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;903,447680877116
120;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;885,378727259574
121;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;867,671152714382
122;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;850,317729660095
123;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;833,311375066893
124;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;816,645147565555
125;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;800,312244614244
126;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;784,305999721959
127;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;768,61987972752
128;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;753,247482132969
129;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;738,18253249031
130;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;723,418881840504
131;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;708,950504203694
132;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;694,77149411962
133;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;680,876064237227
134;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;667,258542952483
135;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;653,913372093433
136;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;640,835104651564
137;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;628,018402558533
138;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;615,458034507362
139;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;603,148873817215
140;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;591,085896340871
141;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;579,264178414054
142;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;567,678894845772
143;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;556,325316948857
144;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;545,19881060988
145;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;534,294834397682
146;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;523,608937709729
147;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;513,136758955534
148;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;502,874023776423
149;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;492,816543300895
150;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;482,960212434877
151;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;473,301008186179
152;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;463,834988022456
153;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;454,558288262007
154;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;445,467122496767
155;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;436,557780046831
156;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;427,826624445895
157;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;419,270091956977
158;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;410,884690117837
159;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;402,66699631548
160;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;394,613656389171
161;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;386,721383261387
162;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;378,98695559616
163;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;371,407216484236
164;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;363,979072154552
165;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;356,699490711461
166;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;349,565500897231
167;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;342,574190879287
168;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;335,722707061701
169;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;329,008252920467
170;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;322,428087862058
171;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;315,979526104816
172;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;309,65993558272
173;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;303,466736871066
174;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;297,397402133644
175;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;291,449454090971
176;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;285,620465009152
177;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;279,908055708969
178;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;274,30989459479
179;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;268,823696702894
180;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;263,447222768836
181;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;258,178278313459
182;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;253,01471274719
183;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;247,954418492246
184;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;242,995330122401
185;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;238,135423519953
186;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;233,372715049554
187;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;228,705260748563
188;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;224,131155533592
189;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;219,64853242292
190;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;215,255561774462
191;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;210,950450538972
192;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;206,731441528193
193;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;202,596812697629
194;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;198,544876443676
195;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;194,573978914803
196;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;190,682499336507
197;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;186,868849349777
198;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;183,131472362781
199;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;179,468842915526
200;0;280306;0;{10,7,1,11,5,3,6,8,2,4,9,12};256564;0;175,879466057215
