Step;Has Improved;Current fitness;Current improvement;Best Solution;Best Fitness;Best Improvement;Current Temperature
55;-1;290640;4,0089;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;131672,218957899
56;1;329128;-13,2425;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;129038,774578741
57;-1;318994;3,079;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;126457,999087166
58;1;322518;-1,1047;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;123928,839105423
59;-1;321848;0,2077;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;121450,262323314
60;-1;306372;4,8085;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;119021,257076848
61;-1;299620;2,2039;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;116640,831935311
62;1;326124;-8,8459;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;114308,015296605
63;-1;309468;5,1073;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;112021,854990673
64;-1;272548;11,9302;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;109781,417890859
65;1;317204;-16,3846;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;107585,789533042
66;-1;288544;9,0352;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;105434,073742381
67;1;325426;-12,7821;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;103325,392267534
68;-1;306028;5,9608;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;101258,884422183
69;1;333614;-9,0142;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;99233,7067337394
70;-1;287284;13,8873;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;97249,0325990647
71;1;305364;-6,2934;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;95304,0519470834
72;1;306482;-0,3661;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;93397,9709081417
73;1;323826;-5,6591;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;91530,0114899788
74;-1;318038;1,7874;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;89699,4112601793
75;-1;291890;8,2217;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;87905,4230349757
76;1;307682;-5,4103;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;86147,3145742762
77;-1;300682;2,2751;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;84424,3682827906
78;1;314738;-4,6747;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;82735,8809171348
79;-1;306016;2,7712;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;81081,1632987921
80;1;325638;-6,4121;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;79459,5400328163
81;-1;310578;4,6248;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;77870,34923216
82;1;312274;-0,5461;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;76312,9422475168
83;1;323622;-3,634;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;74786,6834025664
84;-1;290540;10,2224;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;73290,9497345151
85;1;309986;-6,6931;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;71825,1307398248
86;-1;290796;6,1906;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;70388,6281250283
87;1;359572;-23,6509;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;68980,8555625277
88;-1;319460;11,1555;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;67601,2384512772
89;-1;312512;2,1749;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;66249,2136822516
90;-1;307184;1,7049;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;64924,2294086066
91;-1;300570;2,1531;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;63625,7448204345
92;1;310606;-3,339;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;62353,2299240258
93;1;314410;-1,2247;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;61106,1653255453
94;-1;294166;6,4387;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;59884,0420190344
95;-1;293172;0,3379;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;58686,3611786537
96;1;301902;-2,9778;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;57512,6339550806
97;-1;298982;0,9672;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;56362,381275979
98;-1;298976;0,002;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;55235,1336504594
99;1;302660;-1,2322;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;54130,4309774502
100;1;318882;-5,3598;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;53047,8223579012
101;1;333964;-4,7296;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;51986,8659107432
102;-1;323944;3,0003;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;50947,1285925283
103;1;325204;-0,389;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;49928,1860206777
104;-1;299134;8,0165;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;48929,6223002642
105;1;309332;-3,4092;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;47951,0298542589
