Step;Average Fitness;Diversity;Improvement;Best;Best Fitness;Best Improvement
0;313112;100;0;{10,9,1,4,8,6,12,11,3,2,7,5};272160;0
1;305612;100;2,3953;{10,9,1,4,8,6,12,11,3,2,7,5};272160;0
2;303317;100;0,751;{8,3,6,2,11,10,1,12,7,9,4,5};265574;2,4199
3;299528;99;1,2492;{1,3,7,4,11,10,9,8,5,6,12,2};264208;0,5144
4;296771;99;0,9204;{8,3,6,2,11,10,1,12,7,9,5,4};240006;9,1602
5;290772;98;2,0214;{8,3,6,2,11,10,1,12,7,9,5,4};240006;0
6;288463;96;0,7941;{8,3,6,2,11,10,1,12,7,9,5,4};240006;0
7;279756;84;3,0184;{8,3,6,2,11,10,1,5,7,9,12,4};237702;0,96
8;266143;69;4,866;{8,3,6,2,11,10,1,5,7,9,12,4};237702;0
9;255759;45;3,9017;{8,3,6,2,11,10,1,5,7,9,12,4};237702;0
10;246787;19;3,508;{8,3,6,2,11,10,1,5,9,7,12,4};229982;3,2478
11;246423;16;0,1475;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
12;243434;12;1,213;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
13;241969;12;0,6018;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
14;239423;13;1,0522;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
15;238390;11;0,4315;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
16;238433;11;-0,018;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
17;237665;11;0,3221;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
18;237744;11;-0,0332;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
19;238526;12;-0,3289;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
20;239251;11;-0,304;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
21;238189;11;0,4439;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
22;238024;11;0,0693;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
23;238740;11;-0,3008;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
24;238570;11;0,0712;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
25;239044;11;-0,1987;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
26;238615;12;0,1795;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
27;238243;12;0,1559;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
28;237847;11;0,1662;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
29;238174;11;-0,1375;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
30;238069;12;0,0441;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
31;239023;11;-0,4007;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
32;238483;11;0,2259;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
33;238479;11;0,0017;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
34;238084;11;0,1656;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
35;239305;15;-0,5128;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
36;238886;11;0,1751;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
37;237981;12;0,3788;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
38;237204;11;0,3265;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
39;238562;12;-0,5725;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
40;238155;12;0,1706;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
41;238296;11;-0,0592;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
42;238654;11;-0,1502;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
43;238474;12;0,0754;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
44;238191;11;0,1187;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
45;238264;12;-0,0306;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
46;236895;11;0,5746;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
47;238157;11;-0,5327;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
48;238121;11;0,0151;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
49;238134;11;-0,0055;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
50;238378;11;-0,1025;{8,3,6,2,11,10,1,5,9,7,12,4};229982;0
